usgs_id,city_state,hardness,ph,conductance,ammonia,nitrites,fluoride,arsenic,cobalt,copper,iron,lead,mercury
USGS-09381800,"KANAB,UTAH",,,,,,,,,,,,
USGS-05123990,na,,,,,,,,,,,,
USGS-01576045,"CRALEY, PA",,,,,,,,,,,,
USGS-14242580,"SILVER LAKE, WA",,,,,,,,,,,,
USGS-473311122392901,na,,,,,,,,,,,,
USGS-473323122390801,na,,,,,,,,,,,,
USGS-14240525,"KID VALLEY, WA",,,,,,,,,,,,
USGS-11504290,"KLAMATH AGENCY, OR",,,,,,,,,,,,
USGS-04190000,DUPONT OH,,,,,,,,,,,,
USGS-03353415,"BROWNSBURG, IN",,,,,,,,,,,,
USGS-11303500,VERNALIS CA,,,,,,,,,,,,
USGS-02335870,"MARIETTA, GA",,,,,,,,,,,,
USGS-06898100,na,,,,,,,,,,,,
USGS-02481251,"GULFPORT, MS",,,,,,,,,,,,
USGS-071948095,"JOHNSON, AR",,,,,,,,,,,,
USGS-07263878,"HUMPHREY, AR",,,,,,,,,,,,
USGS-254156080172101,na,,,,,,,,,,,,
USGS-01474010,na,,,,,,,,,,,,
USGS-260041080093102,na,,,,,,,,,,,,
USGS-07105900,"FOUNTAIN,CO",,,,,,,,,,,,
USGS-09408400,"PINE VALLEY, UT",,,,,,,,,,,,
USGS-333226116395604,na,,,,,,,,,,,,
USGS-08358400,"SAN MARCIAL, NM",,,,,,,,,,,,
USGS-01442500,"MINISINK HILLS, PA",,,,,,,,,,,,
USGS-10174500,"HATCH, UT",,,,,,,,,,,,
USGS-12035000,"SATSOP, WA",,,,,,,,,,,,
USGS-11447650,FREEPORT CA,,,,,,,,,,,,
USGS-08362500,na,,,,,,,,,,,,
USGS-08330000,"ALBUQUERQUE, NM",,,,,,,,,,,,
USGS-13289220,na,,,,,,,,,,,,
USGS-01473900,"FORT WASHINGTON, PA",,,,,,,,,,,,
USGS-12301933,LIBBY MT,,,,,,,,,,,,
USGS-12043000,"FORKS, WA",,,,,,,,,,,,
USGS-212915158013801,na,,,,,,,,,,,,
USGS-05427927,"WAUNAKEE, WI",,,,,,,,,,,,
USGS-03159500,ATHENS OH,,,,,,,,,,,,
USGS-11453500,GUENOC CA,,,,,,,,,,,,
USGS-02055080,"ROANOKE, VA",,,,,,,,,,,,
USGS-06800000,"NICKERSON,NEBR",,,,,,,,,,,,
USGS-09408000,"LEEDS, UT",,,,,,,,,,,,
USGS-375607122264701,na,,,,,,,,,,,,
USGS-01589035,"ELKRIDGE, MD",,,,,,,,,,,,
USGS-13213000,ID,,,,,,,,,,,,
USGS-14103000,"BIGGS, OR",,,,,,,,,,,,
USGS-01493112,"CRUMPTON, MD",,,,,,,,,,,,
USGS-01589290,"ROCKDALE, MD",,,,,,,,,,,,
USGS-06807000,"CITY, NE",,,,,,,,,,,,
