latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
40.7127837,-74.0059413,"New York,NY",2022-10-30 18:00:00,50,4.8,52.0,16.6,98.1,na,50
34.06653,-118.22676,"Los Angeles,CA",2022-10-30 14:00:00,55,4.5,28.0,14.3,53.3,31,55
41.9136,-87.7239,"Chicago,IL",2022-10-30 16:00:00,59,na,73.0,na,na,na,59
25.794722222222,-80.215555555556,"Miami,FL",2022-10-30 17:00:00,27,1,69.0,na,13,14,27
32.8200608,-96.8601165,"Dallas,TX",2022-10-30 15:00:00,38,1.2,42.6,3,37.6,18,34
39.934635,-75.126126,"Philadelphia,PA",2022-10-30 17:00:00,52,3.4,59.5,13.9,28.1,na,52
29.686389,-95.294722,"Houston,TX",2022-10-30 15:00:00,38,na,43.8,3.8,37.6,na,na
33.720192,-84.357056,"Atlanta,GA",2022-10-30 16:00:00,20,na,70.6,na,7.3,na,20
38.8577,-77.05922,"Washington,DC",2022-10-30 17:00:00,24,0.1,67.0,5.7,10.6,11,24
42.3584308,-71.0597732,"Boston,MA",2022-10-30 16:00:00,29,2.3,56.0,5.6,28.9,na,21
