f_aqi_key,time_updated,aqi,pm10,pm25,aqi_key
1,11/7/2022 21:00,8,7,17,1
2,11/7/2022 21:00,6,37,79,1
3,11/7/2022 21:00,2,49,105,1
4,11/7/2022 21:00,5,40,82,1
5,11/7/2022 21:00,10,6,16,1
6,11/7/2022 18:00,7,15,41,2
7,11/7/2022 18:00,7,20,41,2
8,11/7/2022 18:00,3,44,91,2
9,11/7/2022 18:00,5,44,86,2
10,11/7/2022 18:00,9,26,58,2
11,11/7/2022 20:00,7,7,18,3
12,11/7/2022 20:00,7,13,39,3
13,11/7/2022 20:00,14,17,54,3
14,11/7/2022 20:00,12,9,24,3
15,11/7/2022 20:00,11,2,3,3
16,11/7/2022 20:00,17,17,21,4
17,11/7/2022 20:00,13,6,20,4
18,11/7/2022 20:00,15,6,15,4
19,11/7/2022 20:00,13,14,38,4
20,11/7/2022 20:00,10,11,28,4
21,11/7/2022 19:00,4,14,46,5
22,11/7/2022 19:00,6,14,39,5
23,11/7/2022 19:00,11,12,38,5
24,11/7/2022 19:00,12,4,9,5
25,11/7/2022 19:00,15,2,5,5
26,11/7/2022 21:00,9,5,12,6
27,11/7/2022 21:00,7,12,33,6
28,11/7/2022 21:00,3,36,88,6
29,11/7/2022 21:00,8,19,43,6
30,11/7/2022 21:00,13,3,6,6
31,11/7/2022 20:00,10,16,45,7
32,11/7/2022 20:00,11,20,57,7
33,11/7/2022 20:00,13,18,46,7
34,11/7/2022 20:00,8,16,40,7
35,11/7/2022 20:00,12,2,6,7
36,11/7/2022 20:00,12,10,29,8
37,11/7/2022 20:00,15,7,15,8
38,11/7/2022 20:00,14,8,16,8
39,11/7/2022 20:00,7,4,10,8
40,11/7/2022 20:00,10,8,27,8
41,11/7/2022 21:00,9,6,16,9
42,11/7/2022 21:00,5,15,41,9
43,11/7/2022 21:00,2,27,62,9
44,11/7/2022 21:00,8,10,21,9
45,11/7/2022 21:00,9,3,7,9
46,11/7/2022 21:00,13,3,6,10
47,11/7/2022 21:00,9,7,21,10
48,11/7/2022 21:00,11,14,35,10
49,11/7/2022 21:00,9,17,36,10
50,11/7/2022 21:00,12,4,12,10
51,11/7/2022 19:00,3,29,50,11
52,11/7/2022 19:00,10,16,19,11
53,11/7/2022 19:00,6,20,41,11
54,11/7/2022 19:00,7,20,40,11
55,11/7/2022 19:00,9,24,42,11
56,11/7/2022 20:00,11,3,5,12
57,11/7/2022 20:00,6,16,39,12
58,11/7/2022 20:00,2,32,85,12
59,11/7/2022 20:00,3,20,59,12
60,11/7/2022 20:00,3,16,50,12
61,11/7/2022 18:00,10,5,10,13
62,11/7/2022 18:00,4,18,44,13
63,11/7/2022 18:00,3,30,76,13
64,11/7/2022 18:00,3,28,67,13
65,11/7/2022 18:00,6,21,52,13
66,11/7/2022 21:00,9,5,13,14
67,11/7/2022 21:00,9,8,21,14
68,11/7/2022 21:00,9,12,36,14
69,11/7/2022 21:00,9,11,30,14
70,11/7/2022 21:00,10,5,13,14
71,11/7/2022 18:00,12,5,14,15
72,11/7/2022 18:00,11,7,19,15
73,11/7/2022 18:00,4,24,60,15
74,11/7/2022 18:00,4,32,72,15
75,11/7/2022 18:00,7,20,50,15
76,11/7/2022 20:00,10,5,15,16
77,11/7/2022 20:00,5,6,24,16
78,11/7/2022 20:00,4,4,13,16
79,11/7/2022 20:00,10,2,6,16
80,11/7/2022 20:00,13,1,3,16
81,11/7/2022 21:00,17,16,29,17
82,11/7/2022 21:00,17,10,21,17
83,11/7/2022 21:00,14,4,14,17
84,11/7/2022 21:00,15,6,17,17
85,11/7/2022 21:00,16,17,42,17
86,11/7/2022 19:00,10,10,21,18
87,11/7/2022 19:00,6,13,37,18
88,11/7/2022 19:00,4,9,27,18
89,11/7/2022 19:00,3,17,53,18
90,11/7/2022 19:00,12,7,20,18
91,11/7/2022 21:00,8,7,17,19
92,11/7/2022 21:00,6,37,79,19
93,11/7/2022 21:00,2,49,105,19
94,11/7/2022 21:00,5,40,82,19
95,11/7/2022 21:00,10,6,16,19
96,11/7/2022 20:00,8,7,17,20
97,11/7/2022 20:00,6,37,79,20
98,11/7/2022 20:00,2,49,105,20
99,11/7/2022 20:00,5,40,82,20
100,11/7/2022 20:00,10,6,16,20
101,11/7/2022 18:00,9,5,14,21
102,11/7/2022 18:00,7,11,29,21
103,11/7/2022 18:00,3,22,53,21
104,11/7/2022 18:00,10,18,27,21
105,11/7/2022 18:00,13,15,20,21
106,1/13/2022 6:00,9,20,56,22
107,1/13/2022 6:00,14,3,8,22
108,1/13/2022 6:00,11,6,16,22
109,1/13/2022 6:00,13,3,7,22
110,11/7/2022 17:00,8,5,12,22
111,11/7/2022 17:00,2,23,64,23
112,11/7/2022 17:00,1,27,79,23
113,11/7/2022 17:00,6,13,44,23
114,11/7/2022 17:00,9,14,45,23
115,11/7/2022 20:00,10,8,21,23
116,11/7/2022 20:00,12,11,23,24
117,11/7/2022 20:00,13,11,30,24
118,11/7/2022 20:00,12,8,24,24
119,11/7/2022 20:00,15,1,4,24
120,11/7/2022 20:00,10,8,22,24
121,11/7/2022 20:00,9,14,46,25
122,11/7/2022 20:00,15,12,36,25
123,11/7/2022 20:00,12,7,19,25
124,11/7/2022 20:00,13,2,5,25
125,11/7/2022 17:00,12,3,8,25
126,11/7/2022 17:00,3,16,44,26
127,11/7/2022 17:00,2,18,53,26
128,11/7/2022 17:00,3,16,46,26
129,11/7/2022 17:00,5,18,42,26
130,11/7/2022 20:00,17,13,30,26
131,11/7/2022 20:00,18,16,32,27
132,11/7/2022 20:00,13,5,14,27
133,11/7/2022 20:00,13,4,14,27
134,11/7/2022 20:00,12,9,29,27
135,11/7/2022 18:00,11,4,10,27
136,11/7/2022 18:00,3,21,55,28
137,11/7/2022 18:00,2,32,81,28
138,11/7/2022 18:00,3,30,76,28
139,11/7/2022 18:00,4,36,90,28
140,11/7/2022 21:00,10,4,9,28
141,11/7/2022 21:00,9,6,18,29
142,11/7/2022 21:00,12,10,29,29
143,11/7/2022 21:00,8,8,23,29
144,11/7/2022 21:00,10,4,11,29
145,11/7/2022 19:00,8,5,15,29
146,11/7/2022 19:00,11,5,13,30
147,11/7/2022 19:00,4,15,44,30
148,11/7/2022 19:00,5,7,18,30
149,11/7/2022 19:00,9,5,17,30
150,11/7/2022 19:00,8,10,30,30
151,11/7/2022 19:00,8,12,28,31
152,11/7/2022 19:00,10,10,30,31
153,11/7/2022 19:00,13,9,18,31
154,11/7/2022 19:00,16,1,4,31
155,11/7/2022 21:00,12,6,17,31
156,11/7/2022 21:00,8,9,23,32
157,11/7/2022 21:00,9,11,34,32
158,11/7/2022 21:00,4,10,30,32
159,11/7/2022 21:00,12,4,9,32
160,11/7/2022 20:00,9,8,28,32
161,11/7/2022 20:00,10,10,39,33
162,11/7/2022 20:00,12,7,27,33
163,11/7/2022 20:00,14,1,3,33
164,11/7/2022 20:00,16,2,6,33
165,11/7/2022 21:00,8,7,17,33
166,11/7/2022 21:00,6,37,79,34
167,11/7/2022 21:00,2,49,105,34
168,11/7/2022 21:00,5,40,82,34
169,11/7/2022 21:00,10,6,16,34
170,11/7/2022 21:00,11,6,21,34
171,11/7/2022 21:00,8,11,36,35
172,11/7/2022 21:00,11,14,50,35
173,11/7/2022 21:00,10,9,30,35
174,11/7/2022 21:00,12,2,4,35
175,11/7/2022 21:00,12,7,22,35
176,11/7/2022 21:00,12,7,15,36
177,11/7/2022 21:00,13,10,16,36
178,11/7/2022 21:00,10,3,7,36
179,11/7/2022 21:00,8,4,11,36
180,11/7/2022 20:00,9,6,11,36
181,11/7/2022 20:00,6,38,77,37
182,11/7/2022 20:00,2,50,104,37
183,11/7/2022 20:00,4,41,84,37
184,11/7/2022 20:00,9,6,15,37
185,11/7/2022 20:00,10,3,9,37
186,11/7/2022 20:00,10,10,37,38
187,11/7/2022 20:00,13,15,54,38
188,11/7/2022 20:00,13,7,21,38
189,11/7/2022 20:00,12,1,3,38
190,11/7/2022 21:00,13,2,5,38
191,11/7/2022 21:00,8,9,25,39
192,11/7/2022 21:00,13,10,20,39
193,11/7/2022 21:00,11,14,28,39
194,11/7/2022 21:00,13,4,12,39
195,11/7/2022 21:00,17,17,31,39
196,11/7/2022 21:00,17,14,24,40
197,11/7/2022 21:00,18,9,28,40
198,11/7/2022 21:00,12,4,11,40
199,11/7/2022 21:00,9,5,15,40
200,11/7/2022 19:00,9,8,21,40
201,11/7/2022 19:00,9,6,17,41
202,11/7/2022 19:00,8,11,32,41
203,11/7/2022 19:00,6,23,66,41
204,11/7/2022 19:00,7,32,89,41
205,11/6/2022 22:00,11,14,47,41
206,11/6/2022 22:00,5,17,55,42
207,11/6/2022 22:00,10,9,24,42
208,11/6/2022 22:00,11,11,27,42
209,11/7/2022 20:00,12,5,13,42
210,11/7/2022 20:00,11,9,21,42
211,11/7/2022 20:00,10,10,17,43
212,11/7/2022 20:00,10,7,15,43
213,11/7/2022 20:00,10,2,6,43
214,11/7/2022 21:00,14,5,16,43
215,11/7/2022 21:00,13,8,11,43
216,11/7/2022 21:00,13,10,13,44
217,11/7/2022 21:00,10,4,10,44
218,11/7/2022 21:00,10,3,12,44
219,11/7/2022 19:00,6,18,46,44
220,11/7/2022 19:00,13,12,41,44
221,11/7/2022 19:00,12,12,32,45
222,11/7/2022 19:00,10,12,35,45
223,11/7/2022 19:00,11,6,18,45
224,11/7/2022 21:00,12,7,20,45
225,11/7/2022 21:00,4,15,46,45
226,11/7/2022 21:00,6,14,49,46
227,11/7/2022 21:00,5,11,35,46
228,11/7/2022 21:00,13,2,5,46
229,11/7/2022 20:00,7,4,15,46
230,11/7/2022 20:00,13,11,35,46
231,11/7/2022 20:00,12,6,18,47
232,11/7/2022 20:00,14,2,4,47
233,11/7/2022 20:00,15,1,3,47
234,11/7/2022 21:00,13,2,4,47
235,11/7/2022 21:00,13,5,11,47
236,11/7/2022 21:00,8,17,39,48
237,11/7/2022 21:00,7,24,48,48
238,11/7/2022 21:00,13,3,10,48
239,11/7/2022 21:00,11,3,6,48
240,11/7/2022 21:00,11,4,12,48
241,11/7/2022 21:00,14,5,17,49
242,11/7/2022 21:00,11,6,18,49
243,11/7/2022 21:00,8,5,18,49
244,11/7/2022 19:00,6,10,31,49
245,11/7/2022 19:00,10,14,38,49
246,11/7/2022 19:00,12,8,25,50
247,11/7/2022 19:00,13,3,7,50
248,11/7/2022 19:00,16,2,3,50
249,11/7/2022 21:00,13,2,4,50
250,11/7/2022 21:00,9,6,17,50
251,11/7/2022 21:00,8,18,44,51
252,11/7/2022 21:00,9,15,33,51
253,11/7/2022 21:00,13,3,8,51
254,11/7/2022 19:00,7,13,32,51
255,11/7/2022 19:00,10,13,25,51
256,11/7/2022 19:00,12,15,24,52
257,11/7/2022 19:00,9,23,49,52
258,11/7/2022 19:00,7,24,51,52
259,11/7/2022 20:00,11,5,19,52
260,11/7/2022 20:00,12,4,15,52
261,11/7/2022 20:00,13,5,15,53
262,11/7/2022 20:00,14,1,3,53
263,11/7/2022 20:00,15,3,10,53
264,11/7/2022 18:00,4,53,75,53
265,11/7/2022 18:00,7,47,74,53
266,11/7/2022 18:00,17,14,14,54
267,11/7/2022 18:00,13,20,23,54
268,11/7/2022 18:00,10,22,29,54
269,11/7/2022 16:00,12,17,24,54
270,11/7/2022 16:00,15,11,12,54
271,11/7/2022 16:00,17,9,11,55
272,11/7/2022 16:00,17,9,13,55
273,11/7/2022 16:00,20,10,12,55
274,11/7/2022 20:00,11,12,29,55
275,11/7/2022 20:00,11,16,28,55
276,11/7/2022 20:00,12,11,24,56
277,11/7/2022 20:00,11,7,18,56
278,11/7/2022 20:00,13,4,11,56
279,11/7/2022 18:00,9,33,50,56
280,11/7/2022 18:00,12,21,30,56
281,11/7/2022 18:00,15,7,7,57
282,11/7/2022 18:00,14,16,19,57
283,11/7/2022 18:00,15,20,25,57
284,10/1/2021 15:00,23,8,13,57
285,10/1/2021 15:00,25,7,12,57
286,10/1/2021 15:00,21,10,17,58
287,10/1/2021 15:00,25,6,15,58
288,11/7/2022 20:00,17,14,30,58
289,11/7/2022 20:00,17,12,25,58
290,11/7/2022 20:00,15,5,13,58
291,11/7/2022 20:00,16,5,16,59
