MonitoringLocationIdentifier,city_state,Hardness mg/l CaCO3,pH std units,Conductance uS/cm @25C,Ammonia mg/l as N,Nitrites mg/l as N,Fluoride mg/l,Cobalt ug/l,Copper ug/l,Iron ug/l,Arsenic ug/l,Mercury ug/l
USGS-09381800,"KANAB, U",,,1390,,,,,,,,
USGS-05123990,na,919,7.8,2870,0.22,0.067,0.32,0.84,2.8,264,5.5,0.007
USGS-01576045,"CRALEY,PA",,,,,7.6,,,,,,
USGS-14242580,"SILVER LAKE,WA",,,55,,,,,,,,
USGS-473311122392901,na,,,23,,,,,,,,
USGS-473323122390801,na,,,300,,,,,,,,
USGS-11504290,"KLAMATH AGENCY,OR",,7.3,80,0.02,,,,,,,
USGS-04190000,"DUPONT,OH",,,,0.03,6.91,,,,,,
USGS-03353415,"BROWNSBURG,IN",248,7.5,520,,4.89,0.14,,,49.9,,
USGS-11303500,"VERNALIS,CA",208,7.8,858,0.03,1.91,0.11,,,13.1,1.5,
USGS-02335870,"MARIETTA,GA",31.2,6.2,97,0.04,0.824,0.04,,,251,0.14,
USGS-06898100,na,,7.8,491,0.05,0.104,,,,,,
USGS-02481251,"GULFPORT,MS",,5.9,91,,,,,,,,
USGS-071948095,"JOHNSON,AR",153,8,341,0.09,0.84,0.13,,,,,
USGS-254156080172101,na,,,632,,,,,,,,
USGS-01474010,na,126,7.9,360,0.14,,,,,160,,
USGS-260041080093102,na,,,441,,,,,,,,
USGS-07105900,"FOUNTAIN,CO",,8,2680,0.03,,,,,,,
USGS-09408400,"PINE VALLEY,UT",,,122,,,,,,,,
USGS-333226116395604,na,586,7,1530,,1.33,0.38,,,,0.54,
USGS-01442500,"MINISINK HILLS,PA",45,7.5,169,0.02,,,,,,,
USGS-10174500,"HATCH,UT",,,338,,,,,,,,
USGS-11447650,"FREEPORT,CA",67.3,7.8,167,0.02,0.116,0.06,,,45.1,2.1,
USGS-08362500,na,,,1320,,,,,,,,
USGS-08330000,"ALBUQUERQUE,NM",,,325,,,,,,,,
USGS-13289220,na,,,,,,,,,,,0.123
USGS-01473900,"FORT WASHINGTON,PA",180,8.1,682,,,,,6.84,,,
USGS-12301933,"LIBBY,MT",,8.3,251,,,,,,,,
USGS-212915158013801,na,,,171,,,,,,,,
USGS-05427927,"WAUNAKEE,WI",,,,0.08,11.3,,,,,,
USGS-03159500,"ATHENS,OH",,,,0.07,1.27,,,,,,
USGS-11453500,"GUENOC,CA",,,338,,0.149,,,,,,
USGS-02055080,"ROANOKE,VA",,8.4,262,,,,,,,,
USGS-06800000,"NICKERSON, N",373,8,824,0.06,6.2,0.28,,,,4.4,
USGS-09408000,"LEEDS,UT",,,327,,,,,,,,
USGS-01493112,"CRUMPTON,MD",,6.6,162,0.12,6.69,,,,,,
