MonitoringLocationIdentifier,Hardness mg/l CaCO3,pH std units,Conductance uS/cm @25C,Ammonia mg/l as N,Nitrites mg/l as N,Fluoride mg/l,Cobalt ug/l,Copper ug/l,Iron ug/l,Arsenic ug/l,Mercury ug/l
USGS-05123990,919,7.8,2870,0.22,0.067,0.32,0.84,2.8,264,5.5,0.007
USGS-03353415,248,7.5,520,,4.89,0.14,,,49.9,,
USGS-02335870,31.2,6.2,97,0.04,0.824,0.04,,,251,0.14,
USGS-071948095,153,8,341,0.09,0.84,0.13,,,,,
USGS-01474010,126,7.9,360,0.14,,,,,160,,
USGS-01442500,45,7.5,169,0.02,,,,,,,
USGS-333226116395604,586,7,1530,,1.33,0.38,,,,0.54,
USGS-01473900,180,8.1,682,,,,,6.84,,,
USGS-06800000,373,8,824,0.06,6.2,0.28,,,,4.4,
USGS-373843118585901,109,6.8,424,,0.074,0.57,,,41.5,89.2,
USGS-01440650,24,7,107,0.03,,,,,,,
USGS-07106500,353,8.3,1160,0.04,,,,2.1,1300,1.3,
USGS-06331000,718,7.8,2820,0.21,0.065,0.3,,,,,
USGS-06324500,591,8.1,1660,0.03,0.7,0.4,,,401,0.5,
USGS-03078020,47,7.5,141,,,,,,170,,
USGS-333226116395602,4.61,9.3,445,,0.159,2.52,,,45.6,27.2,
USGS-06350000,465,8.1,2270,,,0.4,,,,,
USGS-06335500,353,8.4,2510,,,0.31,,6,,,
USGS-06306300,380,8.2,752,,0.49,0.23,,0.44,110,0.38,
USGS-03111687,91,8.2,416,,,,,,130,,
USGS-391900120480001,172,8.9,276,,,0.03,,,,0.41,
USGS-03073000,144,8.2,378,,,,,,220,,
USEPA-320153106254101,84.1,7.9,431,,2.25,0.64,,1.4,16.5,6.5,
USGS-01479820,164,8,454,,4.67,,,,130,,
USGS-320126106254001,88,8,440,,2.26,0.58,,0.79,,8.5,
USGS-10310500,61.5,8,171,,,0.08,,,,,
USGS-015765195,356,7.9,787,,8.36,,,,46,,
USGS-03497300,4.23,7,10,,0.07,0.02,,,,,
USGS-01573710,129,8,343,0.03,4.63,,,1.53,160,,
USGS-05065500,1180,8,2330,0.31,2.33,0.21,,,,,
USGS-10350340,76.7,7.9,300,,0.08,0.12,,,22.3,17.6,
USGS-07381495,67.6,7.1,208,0.03,0.48,0.07,,,52.6,0.65,
USGS-12510500,67.7,6.4,182,0.03,0.983,0.1,,,36.1,0.78,
USGS-08195000,236,7.7,451,,0.13,0.13,,,,,
USGS-03609750,69,7.9,162,0.05,0.432,0.06,,,64.7,0.38,
USGS-03378500,205,8,466,0.03,3.2,0.16,,,,0.81,
USGS-395223086214203,312,7.9,586,,2,0.18,,,7.6,,
USGS-322023090544500,126,7.9,352,0.04,0.917,0.11,,,61.7,0.8,
USGS-01104420,122,,5740,,,,,,,,
USGS-08057200,284,7.9,698,,2.23,0.41,,,11.6,0.83,
USGS-320116106262101,97.1,7.7,810,,1.35,1.21,,0.93,,8.7,
USGS-01545000,18,6.8,48,,,,,,,,
USGS-03072845,200,8.4,480,,,,,,180,,
USGS-390700121080001,208,6.6,451,,0.501,0.09,,5.2,,1.2,
USGS-05288705,485,7,1520,0.6,0.476,0.13,,,57.3,0.79,
USGS-05451210,353,8.1,670,0.05,0.481,0.31,,,11.1,1.2,
USGS-07106300,323,8.2,1100,0.1,,,,2.4,3750,1.1,
USGS-09180500,440,,1520,,,0.36,,,,,
USGS-373253120422701,44.3,8,177,,2.81,0.2,,,,6.9,
USGS-09522000,353,8,1300,0.09,0.339,0.46,,,,2.1,
USGS-372646120410401,276,7.6,828,,33.8,0.04,,,,1.3,
USGS-07144790,151,8.5,777,0.061,0.27,0.4,,,130,,
USGS-01558000,113,7.7,263,0.22,1.63,,,2.15,69,,
USGS-06469400,726,7.7,1840,,0.034,0.14,,,,,
USGS-03077500,32,7.3,100,0.02,,,,,280,,
USGS-08067000,109,8.1,355,0.02,0.249,0.29,,2.1,1520,2.3,
USGS-391000120580001,47.1,5.8,110,,0.241,0.06,,2.2,,0.2,
USGS-01542790,35,6.2,96,,,,,,,,
USGS-01474000,210,8.2,694,,,,,7.17,,,
USGS-09013000,25,7.5,60,0.001,0.023,,,0.8,67.3,0.19,
USGS-14201300,129,6.8,335,0.06,13.3,0.08,,1.4,121,0.47,
USGS-01551500,53,7.3,160,,,,,,350,,
USGS-07105800,232,8.1,853,1.07,,,,2.1,344,0.64,
USGS-13154500,190,8,504,0.02,2.43,0.57,,,,3.7,
USGS-14211720,22.3,6.8,66,0.03,1.12,0.03,,1,166,0.26,
USGS-13056500,67.4,7.9,200,,0.439,2.17,,,39,5.3,
USGS-07106000,292,8.4,1240,0.32,,,,2.6,946,0.82,
USGS-01654000,110,7.3,428,,1.56,,,,,,
USGS-02087580,25.7,7,82,0.04,0.25,0.05,,,558,0.5,
USGS-05120000,949,7.8,3040,0.09,,0.33,0.39,1.7,708,3.6,
USGS-395223086214202,311,7.4,622,0.29,,1.24,,,1140,,
USGS-373829118564801,141,7.1,544,,,0.67,,,85,180,
USGS-02175000,18.7,6.2,65,,0.05,0.04,,,392,0.29,
USEPA-342446103380101,437,7.4,1060,,3.75,2.29,,2.4,11.1,7,
USGS-08329918,138,8.4,373,,0.09,0.47,0.061,0.62,287,2.3,
USGS-01494990,72,7.4,234,,,,,,150,,
USGS-09534550,435,7.9,1740,0.83,0.489,0.24,,,,,
USEPA-342444103182201,334,7.3,717,,8.29,1.26,,4.7,,2.3,
USGS-03072655,59,7.5,158,0.02,,,,,440,,
USGS-05117500,785,7.8,2530,0.7,0.065,0.41,0.34,,404,3.4,
USGS-372017120395401,218,7.1,646,,24.5,0.15,0.043,0.5,,2.6,
USGS-01564515,53,7,154,,,,,8.07,130,,
USGS-11447650,67.3,7.8,167,0.02,0.116,0.06,,,45.1,2.1,
USGS-01548075,117,7.8,263,,,,,,100,,
USGS-320330106254801,132,8,830,,1.36,0.49,,,31.2,5.6,
USGS-05083000,668,8,2400,0.63,0.59,0.43,,18,,,
USGS-01547980,33,5.8,100,,,,,,350,,
USGS-01435000,6.52,6.9,27,,0.3,0.03,,,,,
USGS-01547950,34,5.4,104,0.03,,,,,410,,
USGS-11074000,292,7.6,863,0.08,2.95,0.36,,,29.3,2.5,
USGS-08069500,50.1,7.7,180,0.03,0.451,0.09,,2.9,1160,1.6,0.005
USGS-06354580,667,8,1840,0.1,0.37,0.18,,,,,
USGS-394141074442301,1.03,4.5,41,0.06,,0.02,,,3120,0.57,
USGS-02089500,16.2,6.5,63,0.02,0.602,0.06,,,462,0.3,
USGS-06436198,774,8,1480,,,,0.454,,541,31.6,
USGS-01544500,17,6.6,45,,0.6,,,,,,
USGS-01553990,71,6.9,204,0.02,0.93,,,1.71,420,,
USGS-09071750,205,8.2,869,,,0.22,,,,,
USGS-01570500,73,7.1,216,0.01,1.16,,,1.97,400,,
USGS-14246900,44.1,7.4,112,0.02,0.632,0.07,,2,589,0.62,
USGS-06636000,167,8.2,404,,0.083,0.34,0.122,1.4,,1.5,
USGS-333226116395603,252,7.8,983,,,0.24,,,,1.1,
USGS-11303500,208,7.8,858,0.03,1.91,0.11,,,13.1,1.5,
USGS-01646000,66,7,288,,2.55,,,,,,
USGS-01543000,21,7,62,,,,,,,,
USGS-03010500,25,6.9,72,,,,,,2100,,
USEPA-342450103380101,495,7.5,1200,,4.2,2.36,,4.1,,7.7,
USGS-07075270,6.76,6.1,20,,0.07,0.02,,,,,
USGS-373811118591801,187,6.3,572,,,0.54,,,25.8,5.7,
USGS-01449375,9,6.4,83,,0.06,,,,,,
USGS-10310485,31.3,7.9,90,,,0.05,,,,,
USGS-06340000,631,8,2400,0.03,,0.46,,,76,,
USGS-01447720,15,6.3,80,,,,,,220,,
USGS-07103700,105,8.1,317,,0.647,,,0.4,103,0.14,
USGS-05331580,292,7.1,649,0.43,2.08,0.21,,,25.4,0.8,
USGS-02091500,13.5,6.3,52,0.03,0.518,0.07,,,920,0.5,
USGS-01518700,53,7.3,152,0.02,,,,,930,,
USEPA-344916103185801,178,7.7,450,,3.34,0.88,,1.1,,3.4,
USGS-07288650,32.6,7.3,145,0.03,0.629,0.1,,,458,1.5,
USGS-01555859,140,7.5,558,0.24,,,,,520,,
USGS-01594440,76.8,7.3,323,0.11,1.15,0.1,,,283,,
USGS-01553005,34,7,104,,,,,,,,
USGS-333226116395601,15.9,8.8,350,,,4.94,,,14.3,0.5,
USGS-08071330,25.4,6.9,78,,0.081,0.1,,3.9,3080,1.3,0.022
USGS-07144780,227,8.4,1310,0.057,1.89,0.4,,,590,,
USGS-04220350,37,7.5,103,,,,,,100,,
USGS-08067074,110,8.1,357,0.06,0.249,0.29,,1.8,1140,2.1,
USGS-07104000,210,8.2,785,0.12,1.8,,,1.1,243,0.54,
USGS-01439500,12,6.7,39,,,,,,,,
USGS-01556009,162,7.8,434,0.03,2.68,,,1.8,120,,
USGS-01634000,246,8.1,371,,2.09,,,,,,
USGS-05100000,502,7.5,1060,,0.118,0.25,,10.5,,,
USGS-02037618,54,7.6,138,0.012,0.414,,,,,,
USGS-08317400,124,8.3,332,0.02,,0.48,0.188,0.72,7.1,1.9,
USGS-06436180,682,8.2,1400,,,,0.399,1.1,91.7,15.3,
USGS-294607095042700,110,8.1,343,0.04,0.21,0.29,,1.4,692,2,
USGS-10172200,368,8.4,450,,0.02,0.1,,,,,
USGS-05084000,412,7.7,956,0.12,1.49,0.2,,,,,
USGS-01478245,127,7.4,319,,4.71,,,,110,,
USGS-293559098284801,393,6.8,751,,2.71,0.21,,,,,
USGS-391900120530001,70.6,6.8,175,,0.054,0.04,,0.56,,2.5,
USGS-03007800,24,6.8,71,,,,,,540,,
USGS-01552000,19,7,60,,,,,,,,
USGS-07048495,187,7.8,443,,1,0.17,,,,,
USGS-03353420,237,7.5,528,,4.99,0.14,,,68.2,,
USGS-333359116373501,747,7.3,1580,,0.525,0.94,,,,,
USGS-01549600,38,7.1,108,,,,,,,,
USGS-06329500,259,8.3,729,0.02,0.568,0.46,,,,5.4,
USGS-01578310,71.1,7.6,218,0.04,1.7,0.05,,,54.6,0.27,
USGS-293516098325501,299,6.8,605,,2.05,0.1,,,,,
USGS-05085000,490,7.5,1080,0.24,2.14,0.21,,17,,,
USGS-373727118583901,199,7.3,417,,,0.19,,,108,38.7,
USGS-01481000,114,7.6,326,0.13,3.5,,,20.3,130,,
USGS-391700121210001,276,7.1,527,,,0.09,,2,,0.38,
USGS-294643095035200,111,8.1,347,0.04,0.227,0.29,,1.5,830,2.1,
USGS-03063000,82,7.7,215,0.04,,,,,3400,,
USGS-01576767,277,7.8,566,0.02,9.18,,,,160,,
USGS-293405098394201,334,6.8,618,,2.47,0.11,,,,,
USGS-07374525,120,7.9,348,0.03,0.84,0.11,,,460,1.1,
USGS-01658500,12,7.2,50,,0.03,,,,,,
USGS-01545600,11,7,32,,0.36,0.02,,,,,
USGS-12505450,280,7.4,710,0.03,9.11,0.54,,,,10.8,
USGS-03049652,51,7.5,166,0.03,,,,,1400,,
USGS-373803118585901,87.1,7,241,,0.089,0.35,,,,5.2,
USGS-391400121130001,175,7.5,388,,,0.19,0.044,1.3,5.8,1.9,
USGS-03612600,109,8,309,0.03,1.09,0.09,,,79.9,0.52,
USGS-392600121100001,54.9,6.2,118,,,0.02,,1.3,37.1,,
USGS-365629114264701,320,8.2,595,,,0.07,,,,,
USGS-02041650,20,6.4,61,0.033,0.268,,,,,,
USGS-01631000,132,8.2,294,,2.69,,,,,,
USGS-02226160,20.2,6,84,,0.09,0.06,,,450,0.25,
USGS-05114000,737,7.6,2910,0.26,,0.29,1.3,,70,,0.006
USGS-12056500,29.2,6.8,65,,0.03,0.03,,,,,
USGS-01439680,11,6.5,43,,0.09,,,,110,,
USGS-01447500,15,6.5,73,,,,,,120,,
