avg_coord,x_y_grid_pt,city_state,current_temp,wind,description
-16.615299999999998,"35, 34","New York,NY",46.0,15 mph,Mostly Clear
-42.14645,"149, 48","Los Angeles,CA",52.0,10 to 15 mph,Rain Showers then Rain
-22.92445,"73, 70","Chicago,IL",42.0,10 to 15 mph,Partly Cloudy
-27.21315,"108, 50","Miami,FL",73.0,13 mph,Slight Chance Rain Showers
-31.9863,"89, 104","Dallas,TX",67.0,5 mph,Mostly Cloudy
-17.5631,"49, 77","Philadelphia,PA",46.0,10 mph,Mostly Clear
-32.801300000000005,"64, 98","Houston,TX",69.0,5 mph,Mostly Clear then Patchy Fog
-25.32985,"48, 86","Atlanta,GA",64.0,5 mph,Mostly Clear
-19.0558,"97, 72","Washington,DC",44.0,13 mph,Mostly Clear
-14.382899999999996,"71, 88","Boston,MA",43.0,13 mph,Clear
-39.25845,"158, 62","Phoenix,AZ",54.0,5 mph,Mostly Clear
-37.35165,"124, 68","Seattle,WA",33.0,8 mph,Rain Showers Likely
-42.3434,"84, 105","San Francisco,CA",49.0,13 to 20 mph,Showers And Thunderstorms
-20.3595,"63, 35","Detroit,MI",37.0,6 mph,Partly Cloudy
-42.14565,"58, 18","San Diego,CA",56.0,5 to 15 mph,Chance Rain Showers then Light Rain Likely
-24.152149999999995,"107, 70","Minneapolis,MN",33.0,10 mph,Partly Cloudy
-27.22545,"70, 99","Tampa,FL",70.0,7 mph,Partly Cloudy
-32.5569,"66, 61","Denver,CO",40.0,9 to 13 mph,Mostly Cloudy
-16.64975,"35, 31","Brooklyn,NY",47.0,14 mph,Mostly Clear
-16.5239,"39, 37","Queens,NY",47.0,15 mph,Mostly Clear
-41.728350000000006,"56, 68","Riverside,CA",52.0,5 mph,Rain Showers Likely then Light Rain Likely
-18.65465,"109, 92","Baltimore,MD",44.0,14 mph,Mostly Clear
-39.51605,"118, 100","Las Vegas,NV",52.0,14 to 17 mph,Mostly Cloudy
-38.5564,"113, 103","Portland,OR",36.0,6 mph,Chance Rain Showers then Areas Of Frost
-34.52975,"124, 55","San Antonio,TX",67.0,5 mph,Mostly Cloudy
-25.804649999999995,"93, 74","St. Louis,MO",46.0,7 mph,Mostly Cloudy then Chance Rain Showers
-41.4508,"41, 66","Sacramento,CA",48.0,8 to 16 mph,Rain
-26.42985,"28, 66","Orlando,FL",71.0,10 mph,Partly Cloudy
-42.27335,"100, 80","San Jose,CA",46.0,9 to 17 mph,Rain Showers
-20.10185,"83, 63","Cleveland,OH",42.0,6 to 10 mph,Partly Cloudy
-19.768300000000004,"77, 65","Pittsburgh,PA",37.0,5 mph,Partly Cloudy
-33.7259,"155, 91","Austin,TX",66.0,0 mph,Partly Cloudy
-22.6824,"35, 39","Cincinnati,OH",40.0,7 mph,Partly Cloudy
-27.715100000000003,"44, 51","Kansas City,MO",48.0,10 mph,Mostly Cloudy
-16.5914,"33, 37","Manhattan,NY",46.0,9 to 14 mph,Mostly Clear
-23.18435,"57, 68","Indianapolis,IN",42.0,7 mph,Partly Cloudy
-21.4994,"84, 81","Columbus,OH",39.0,9 mph,Partly Cloudy
-22.8112,"118, 63","Charlotte,NC",56.0,7 to 10 mph,Partly Cloudy
-19.655,"99, 47","Virginia Beach,VA",52.0,8 to 21 mph,Clear
-16.508050000000004,"36, 41","Bronx,NY",45.0,14 mph,Mostly Clear
-22.45155,"85, 65","Milwaukee,WI",39.0,5 to 10 mph,Partly Cloudy
-14.79785,"64, 64","Providence,RI",41.0,10 mph,Clear
-25.67135,"64, 64","Jacksonville,FL",68.0,9 mph,Mostly Clear
-35.576449999999994,"98, 175","Salt Lake City,UT",45.0,15 to 25 mph,Light Rain
-25.3064,"49, 56","Nashville,TN",57.0,5 mph,Partly Cloudy
-19.97305,"43, 75","Richmond,VA",46.0,7 to 14 mph,Clear
-27.43635,"44, 64","Memphis,TN",60.0,5 mph,Mostly Cloudy
-21.4055,"73, 59","Raleigh,NC",51.0,6 to 10 mph,Mostly Clear
-29.93005,"73, 94","New Orleans,LA",68.0,5 mph,Partly Cloudy then Patchy Fog
-23.7411,"53, 73","Louisville,KY",45.0,8 mph,Partly Cloudy
-31.023,"97, 93","Oklahoma City,OK",61.0,8 mph,Cloudy then Patchy Fog
-16.00175,"56, 60","Bridgeport,CT",43.0,8 to 12 mph,Clear
-17.973549999999996,"36, 47","Buffalo,NY",36.0,9 mph,Partly Cloudy
-32.283100000000005,"68, 103","Fort Worth,TX",67.0,5 mph,Slight Chance Showers And Thunderstorms then Mostly Cloudy
-15.458650000000002,"21, 54","Hartford,CT",39.0,9 mph,Clear
-39.36185,"93, 45","Tucson,AZ",47.0,8 mph,Mostly Clear
-27.39475,"78, 59","Omaha,NE",43.0,12 mph,Mostly Cloudy
