latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
40.7127837,-74.0059413,"New York,NY",2022-11-07 21:00:00,18,4.8,21.5,16.6,98.1,na,18
34.06653,-118.22676,"Los Angeles,CA",2022-11-07 18:00:00,23,2.3,91,5.2,19.2,1,23
41.9136,-87.7239,"Chicago,IL",2022-11-07 20:00:00,26,na,64,na,na,na,26
25.794722222222,-80.215555555556,"Miami,FL",2022-11-07 20:00:00,34,1.9,88,na,13,19,34
32.8200608,-96.8601165,"Dallas,TX",2022-11-07 19:00:00,9,2.3,91.5,7.9,10.4,15,9
39.934635,-75.126126,"Philadelphia,PA",2022-11-07 21:00:00,30,1.2,35,12.1,27.2,na,30
29.686389,-95.294722,"Houston,TX",2022-11-07 20:00:00,19,na,81.5,7.7,19.2,na,na
33.720192,-84.357056,"Atlanta,GA",2022-11-07 20:00:00,35,na,85,na,25.6,na,35
38.8577,-77.05922,"Washington,DC",2022-11-07 21:00:00,21,0.1,22,1.9,15.9,11,21
42.3584308,-71.0597732,"Boston,MA",2022-11-07 21:00:00,30,3.4,30,6.5,30.4,na,17
33.403055555556,-112.07527777778,"Phoenix,AZ",2022-11-07 19:00:00,55,13.4,40,4.7,19.2,55,43
47.597222,-122.319722,"Seattle,WA",2022-11-07 20:00:00,30,na,94.8,21.8,na,na,30
37.76595,-122.39902,"San Francisco,CA",2022-11-07 18:00:00,26,2.3,78,4.5,25.6,na,9
42.3149367,-83.0363633,"Detroit,MI",2022-11-07 21:00:00,17,1.8,58.5,6.5,16.8,na,9
32.7101770008584,-117.142665,"San Diego,CA",2022-11-07 18:00:00,18,na,72,na,18.4,7,10
44.9536,-93.2581,"Minneapolis,MN",2022-11-07 20:00:00,22,na,66,na,na,na,22
27.928333333333,-82.454444444444,"Tampa,FL",2022-11-07 21:00:00,20,2.5,80,1,13.5,20,19
39.751184,-104.987625,"Denver,CO",2022-11-07 19:00:00,55,5.2,62,17.4,2.5,30,55
40.7127837,-74.0059413,"Brooklyn,NY",2022-11-07 21:00:00,18,4.8,21.5,16.6,98.1,na,18
40.736251,-73.821655,"Queens,NY",2022-11-07 20:00:00,18,1.7,17.3,8.2,29.6,na,18
33.99952,-117.41595,"Riverside,CA",2022-11-07 18:00:00,17,1.2,97.8,2.3,16.8,8,3
39.2981,-76.604698,"Baltimore,MD",2022-01-13 06:00:00,63,na,83,na,na,na,63
36.19126,-115.12293,"Las Vegas,NV",2020-02-08 19:00:00,7,0.1,na,6.6,7.4,24,21
45.496640911,-122.60287735,"Portland,OR",2022-11-07 17:00:00,24,1.2,94.5,3.6,23.8,na,9
29.4072945,-98.431251,"San Antonio,TX",2022-11-07 20:00:00,8,na,64,na,8,na,na
38.656449,-90.198548,"St. Louis,MO",2022-11-07 20:00:00,39,2.3,48,9.2,17.6,18,39
38.56844,-121.49311,"Sacramento,CA",2022-11-07 17:00:00,7,na,71.1,6.5,0.1,7,5
28.596388888889,-81.3625,"Orlando,FL",2022-11-07 20:00:00,30,1.9,88,1.3,11.8,17,30
37.34849,-121.89494,"San Jose,CA",2022-11-07 18:00:00,18,2.3,73,11.8,18.4,na,9
41.492191,-81.678552,"Cleveland,OH",2022-11-07 21:00:00,24,1.2,60,2.8,23.3,24,na
40.4045579,-79.9102686,"Pittsburgh,PA",2022-11-07 19:00:00,23,na,45,5.6,0.8,na,23
30.3544356,-97.7602554,"Austin,TX",2022-11-07 19:00:00,25,na,77.3,7.5,16.8,na,25
39.12886,-84.50404,"Cincinnati,OH",2022-11-07 21:00:00,30,1.2,26,18.7,16.8,23,30
39.10465,-94.57055,"Kansas City,MO",2022-11-07 20:00:00,28,na,32,4.9,na,20,28
40.7127837,-74.0059413,"Manhattan,NY",2022-11-07 21:00:00,18,4.8,21.5,16.6,98.1,na,18
39.787933,-86.13088,"Indianapolis,IN",2022-11-07 21:00:00,40,5.6,49.8,23.2,na,na,40
40.002734,-82.994404,"Columbus,OH",2020-05-25 10:00:00,-,na,56.3,3.8,na,na,na
35.281791,-80.851473,"Charlotte,NC",2022-11-07 21:00:00,34,na,77,na,na,na,34
na,na,na,na,na,na,na,na,na,na,na
40.867985,-73.87808,"Bronx,NY",2022-11-07 20:00:00,27,1.2,31,15.2,30.4,na,27
43.01724,-87.93369,"Milwaukee,WI",2022-11-07 20:00:00,40,2.3,70,7.5,21.3,12,40
41.829495,-71.417457,"Providence,RI",2022-11-07 21:00:00,17,2.3,28,5,na,na,17
30.356388888889,-81.635277777778,"Jacksonville,FL",2022-11-07 21:00:00,25,na,75.2,3.2,14.7,12,25
40.733501,-111.871696,"Salt Lake City,UT",2022-11-07 19:00:00,19,1.6,32,13,19.2,na,15
36.1767,-86.7386,"Nashville,TN",2022-11-06 22:00:00,-,na,74.4,na,na,na,36
37.55652,-77.40027,"Richmond,VA",2022-11-07 20:00:00,89,0.1,42.6,6.4,10.6,42,89
na,na,na,na,na,na,na,na,na,na,na
35.856098,-78.574203,"Raleigh,NC",2022-11-07 21:00:00,44,3.4,93,14,8,21,44
29.993278,-90.101464,"New Orleans,LA",2022-11-07 19:00:00,53,1.2,3,5.6,20,13,53
38.288191,-85.741337,"Louisville,KY",2022-11-07 21:00:00,22,na,37.5,na,na,na,22
35.502968,-97.577674,"Oklahoma City,OK",2022-11-07 20:00:00,55,10,76,20.4,na,29,55
41.171398,-73.195297,"Bridgeport,CT",2022-11-07 21:00:00,15,na,29,na,na,na,15
42.8864468,-78.8783689,"Buffalo,NY",2022-11-07 21:00:00,36,2.7,55,9.8,20,na,36
32.7591432,-97.3423337,"Fort Worth,TX",2022-11-07 19:00:00,26,na,92,na,na,na,26
41.771444,-72.679923,"Hartford,CT",2022-11-07 21:00:00,16,1,30,1.9,na,12,16
32.251846,-110.965296,"Tucson,AZ",2022-11-07 19:00:00,21,2.1,23,1.7,47.2,21,9
41.2474,-95.9731,"Omaha,NE",2022-11-07 20:00:00,24,1.2,44.8,na,21.6,24,21
31.7656976,-106.4552204,"El Paso,TX",2022-11-07 18:00:00,65,13.4,29.9,39.5,0.8,57,65
21.30758,-157.85542,"Honolulu,HI",2022-11-07 16:00:00,9,0.2,58,na,na,na,9
26.2262097,-98.291069,"McAllen,TX",2022-11-07 20:00:00,19,na,83.5,na,19.2,na,25
35.0186,-106.651901,"Albuquerque,NM",2022-11-07 18:00:00,30,1.2,37,6.5,23.3,30,21
52.486243,-1.890401,"Birmingham,AL",2021-10-01 15:00:00,13,na,61.5,3.2,27.3,5,13
27.290555555556,-82.507222222222,"Sarasota,FL",2022-11-07 20:00:00,25,na,61.3,na,17,20,25
39.758235,-84.197375,"Dayton,OH",2022-11-07 21:00:00,27,na,31.8,na,na,na,27
43.145021,-77.557608,"Rochester,NY",2022-11-07 21:00:00,28,3.1,63.5,2.9,18.4,na,28
36.78538,-119.77321,"Fresno,CA",2022-11-07 18:00:00,20,3.4,81,8.2,18.4,11,20
na,na,na,na,na,na,na,na,na,na,na
36.206699,-95.976402,"Tulsa,OK",2022-11-07 19:00:00,84,3.4,77,14.9,10.4,84,49
26.601944444444,-81.877777777778,"Cape Coral,FL",2022-09-28 08:00:00,11,na,88,na,10.6,15,21
37.936,-122.0262,"Concord,CA",2022-11-07 18:00:00,25,2.3,70.4,1.1,24.8,na,9
38.848014,-104.828564,"Colorado Springs,CO",2022-11-07 19:00:00,25,1,58,na,7,21,25
32.836602,-79.956983,"Charleston,SC",2022-07-06 13:00:00,28,na,68.5,4.7,na,na,28
37.256069,-93.299692,"Springfield,MA",2022-11-07 20:00:00,38,na,58,na,31.2,18,38
42.9633599,-85.6680863,"Grand Rapids,MI",2022-11-07 21:00:00,48,4.2,69,11.2,9.6,17,48
na,na,na,na,na,na,na,na,na,na,na
42.642253,-73.754576,"Albany,NY",2022-11-07 21:00:00,18,2.3,56,na,2,na,18
35.9803,-83.9306,"Knoxville,TN",2022-11-07 21:00:00,42,na,75,na,na,na,42
35.35662,-119.06261,"Bakersfield,CA",2022-11-07 18:00:00,18,na,76,8.8,18.4,8,14
41.206402,-111.975197,"Ogden,UT",2022-11-07 19:00:00,19,1.6,32,13,19.2,na,15
30.46198,-91.17922,"Baton Rouge,LA",2022-11-07 20:00:00,52,4.9,79,18.8,6.4,13,52
41.063526,-81.468956,"Akron,OH",2022-11-07 21:00:00,43,na,49,na,na,na,43
41.3011,-72.9028,"New Haven,CT",2022-11-07 21:00:00,17,1,35.5,1.9,17.1,11,15
35.65188,-87.0096,"Columbia,SC",2022-11-07 20:00:00,21,na,96,na,na,na,21
33.410277777778,-111.865,"Mesa,AZ",2022-11-07 19:00:00,47,6.7,22,na,6.4,30,47
28.053611111111,-80.628611111111,"Palm Bay,FL",2022-11-07 20:00:00,35,na,61,na,16.7,24,35
40.253502,-111.6632,"Provo,UT",2022-11-07 19:00:00,19,1.6,32,13,19.2,na,15
42.263877,-71.794186,"Worcester,MA",2022-11-07 21:00:00,30,2.3,35,1.9,29.6,na,5
na,na,na,na,na,na,na,na,na,na,na
35.638599,-77.358002,"Greenville,SC",2022-11-07 20:00:00,25,na,100,na,na,na,25
37.7011,-97.3139,"Wichita,KS",2022-11-07 20:00:00,26,na,52,2.7,25.6,21,23
41.644067,-83.54625,"Toledo,OH",2022-11-07 21:00:00,48,na,43,na,na,na,48
40.63306,-74.137156,"Staten Island,NY",2022-11-07 21:00:00,14,na,26,na,12.8,na,14
41.603056,-93.643056,"Des Moines,IA",2022-11-07 20:00:00,16,na,50,7.1,29.6,na,16
33.7924,-118.17525,"Long Beach,CA",2022-05-05 14:00:00,56,na,47,na,na,na,56
na,na,na,na,na,na,na,na,na,na,na
