aqi_date_loc,time_updated,o3,pm10,pm25
"1,New York,NY",2022-11-07 21:00:00,8,7,17
"2,New York,NY",2022-11-07 21:00:00,6,37,79
"3,New York,NY",2022-11-07 21:00:00,2,49,105
"4,New York,NY",2022-11-07 21:00:00,5,40,82
"5,New York,NY",2022-11-07 21:00:00,10,6,16
"1,Los Angeles,CA",2022-11-07 18:00:00,7,15,41
"2,Los Angeles,CA",2022-11-07 18:00:00,7,20,41
"3,Los Angeles,CA",2022-11-07 18:00:00,3,44,91
"4,Los Angeles,CA",2022-11-07 18:00:00,5,44,86
"5,Los Angeles,CA",2022-11-07 18:00:00,9,26,58
"1,Chicago,IL",2022-11-07 20:00:00,7,7,18
"2,Chicago,IL",2022-11-07 20:00:00,7,13,39
"3,Chicago,IL",2022-11-07 20:00:00,14,17,54
"4,Chicago,IL",2022-11-07 20:00:00,12,9,24
"5,Chicago,IL",2022-11-07 20:00:00,11,2,3
"1,Miami,FL",2022-11-07 20:00:00,17,17,21
"2,Miami,FL",2022-11-07 20:00:00,13,6,20
"3,Miami,FL",2022-11-07 20:00:00,15,6,15
"4,Miami,FL",2022-11-07 20:00:00,13,14,38
"5,Miami,FL",2022-11-07 20:00:00,10,11,28
"1,Dallas,TX",2022-11-07 19:00:00,4,14,46
"2,Dallas,TX",2022-11-07 19:00:00,6,14,39
"3,Dallas,TX",2022-11-07 19:00:00,11,12,38
"4,Dallas,TX",2022-11-07 19:00:00,12,4,9
"5,Dallas,TX",2022-11-07 19:00:00,15,2,5
"1,Philadelphia,PA",2022-11-07 21:00:00,9,5,12
"2,Philadelphia,PA",2022-11-07 21:00:00,7,12,33
"3,Philadelphia,PA",2022-11-07 21:00:00,3,36,88
"4,Philadelphia,PA",2022-11-07 21:00:00,8,19,43
"5,Philadelphia,PA",2022-11-07 21:00:00,13,3,6
"1,Houston,TX",2022-11-07 20:00:00,10,16,45
"2,Houston,TX",2022-11-07 20:00:00,11,20,57
"3,Houston,TX",2022-11-07 20:00:00,13,18,46
"4,Houston,TX",2022-11-07 20:00:00,8,16,40
"5,Houston,TX",2022-11-07 20:00:00,12,2,6
"1,Atlanta,GA",2022-11-07 20:00:00,12,10,29
"2,Atlanta,GA",2022-11-07 20:00:00,15,7,15
"3,Atlanta,GA",2022-11-07 20:00:00,14,8,16
"4,Atlanta,GA",2022-11-07 20:00:00,7,4,10
"5,Atlanta,GA",2022-11-07 20:00:00,10,8,27
"1,Washington,DC",2022-11-07 21:00:00,9,6,16
"2,Washington,DC",2022-11-07 21:00:00,5,15,41
"3,Washington,DC",2022-11-07 21:00:00,2,27,62
"4,Washington,DC",2022-11-07 21:00:00,8,10,21
"5,Washington,DC",2022-11-07 21:00:00,9,3,7
"1,Boston,MA",2022-11-07 21:00:00,13,3,6
"2,Boston,MA",2022-11-07 21:00:00,9,7,21
"3,Boston,MA",2022-11-07 21:00:00,11,14,35
"4,Boston,MA",2022-11-07 21:00:00,9,17,36
"5,Boston,MA",2022-11-07 21:00:00,12,4,12
"1,Phoenix,AZ",2022-11-07 19:00:00,3,29,50
"2,Phoenix,AZ",2022-11-07 19:00:00,10,16,19
"3,Phoenix,AZ",2022-11-07 19:00:00,6,20,41
"4,Phoenix,AZ",2022-11-07 19:00:00,7,20,40
"5,Phoenix,AZ",2022-11-07 19:00:00,9,24,42
"1,Seattle,WA",2022-11-07 20:00:00,11,3,5
"2,Seattle,WA",2022-11-07 20:00:00,6,16,39
"3,Seattle,WA",2022-11-07 20:00:00,2,32,85
"4,Seattle,WA",2022-11-07 20:00:00,3,20,59
"5,Seattle,WA",2022-11-07 20:00:00,3,16,50
"1,San Francisco,CA",2022-11-07 18:00:00,10,5,10
"2,San Francisco,CA",2022-11-07 18:00:00,4,18,44
"3,San Francisco,CA",2022-11-07 18:00:00,3,30,76
"4,San Francisco,CA",2022-11-07 18:00:00,3,28,67
"5,San Francisco,CA",2022-11-07 18:00:00,6,21,52
"1,Detroit,MI",2022-11-07 21:00:00,9,5,13
"2,Detroit,MI",2022-11-07 21:00:00,9,8,21
"3,Detroit,MI",2022-11-07 21:00:00,9,12,36
"4,Detroit,MI",2022-11-07 21:00:00,9,11,30
"5,Detroit,MI",2022-11-07 21:00:00,10,5,13
"1,San Diego,CA",2022-11-07 18:00:00,12,5,14
"2,San Diego,CA",2022-11-07 18:00:00,11,7,19
"3,San Diego,CA",2022-11-07 18:00:00,4,24,60
"4,San Diego,CA",2022-11-07 18:00:00,4,32,72
"5,San Diego,CA",2022-11-07 18:00:00,7,20,50
"1,Minneapolis,MN",2022-11-07 20:00:00,10,5,15
"2,Minneapolis,MN",2022-11-07 20:00:00,5,6,24
"3,Minneapolis,MN",2022-11-07 20:00:00,4,4,13
"4,Minneapolis,MN",2022-11-07 20:00:00,10,2,6
"5,Minneapolis,MN",2022-11-07 20:00:00,13,1,3
"1,Tampa,FL",2022-11-07 21:00:00,17,16,29
"2,Tampa,FL",2022-11-07 21:00:00,17,10,21
"3,Tampa,FL",2022-11-07 21:00:00,14,4,14
"4,Tampa,FL",2022-11-07 21:00:00,15,6,17
"5,Tampa,FL",2022-11-07 21:00:00,16,17,42
"1,Denver,CO",2022-11-07 19:00:00,10,10,21
"2,Denver,CO",2022-11-07 19:00:00,6,13,37
"3,Denver,CO",2022-11-07 19:00:00,4,9,27
"4,Denver,CO",2022-11-07 19:00:00,3,17,53
"5,Denver,CO",2022-11-07 19:00:00,12,7,20
"1,Brooklyn,NY",2022-11-07 21:00:00,8,7,17
"2,Brooklyn,NY",2022-11-07 21:00:00,6,37,79
