avg_coord,x_y_grid_pt,city_state,current_temp,wind,description,avg_dni,avg_ghi,avg_lat_tilt
-16.615299999999998,"35, 34","New York,NY",46.0,15 mph,Mostly Clear,3.91,4.0,4.71
-42.14645,"149, 48","Los Angeles,CA",52.0,10 to 15 mph,Rain Showers then Rain,6.05,5.38,6.16
-22.92445,"73, 70","Chicago,IL",42.0,10 to 15 mph,Partly Cloudy,3.72,3.89,4.5
-27.21315,"108, 50","Miami,FL",73.0,13 mph,Slight Chance Rain Showers,4.92,5.1,5.56
-31.9863,"89, 104","Dallas,TX",67.0,5 mph,Mostly Cloudy,4.86,4.68,5.24
-17.5631,"49, 77","Philadelphia,PA",46.0,10 mph,Mostly Clear,3.98,4.02,4.73
-32.801300000000005,"64, 98","Houston,TX",69.0,5 mph,Mostly Clear then Patchy Fog,4.15,4.55,4.96
-19.0558,"97, 72","Washington,DC",44.0,13 mph,Mostly Clear,4.21,4.15,4.87
-14.382899999999996,"71, 88","Boston,MA",43.0,13 mph,Clear,3.79,3.84,4.57
-37.35165,"124, 68","Seattle,WA",33.0,8 mph,Rain Showers Likely,3.5,3.46,3.98
-42.3434,"84, 105","San Francisco,CA",49.0,13 to 20 mph,Showers And Thunderstorms,4.05,4.35,4.96
-20.3595,"63, 35","Detroit,MI",37.0,6 mph,Partly Cloudy,3.61,3.84,4.42
-42.14565,"58, 18","San Diego,CA",56.0,5 to 15 mph,Chance Rain Showers then Light Rain Likely,5.85,5.29,6.05
-24.152149999999995,"107, 70","Minneapolis,MN",33.0,10 mph,Partly Cloudy,4.09,3.79,4.56
-27.22545,"70, 99","Tampa,FL",70.0,7 mph,Partly Cloudy,4.98,5.04,5.57
-27.22545,"70, 84","Montura,FL",67.0,8 mph,Partly Cloudy,4.98,5.04,5.57
-32.5569,"66, 61","Denver,CO",40.0,9 to 13 mph,Mostly Cloudy,6.06,4.82,5.83
-32.5569,"66, 61","Denver,CO",40.0,9 to 13 mph,Mostly Cloudy,NaN,NaN,NaN
-32.5569,"60, 124","Panorama Village,TX",66.0,5 mph,Patchy Fog,6.06,4.82,5.83
-32.5569,"60, 124","Panorama Village,TX",66.0,5 mph,Patchy Fog,NaN,NaN,NaN
-16.64975,"35, 31","Brooklyn,NY",47.0,14 mph,Mostly Clear,3.91,4.0,4.71
-16.5239,"39, 37","Queens,NY",47.0,15 mph,Mostly Clear,3.78,3.94,4.61
-41.728350000000006,"56, 68","Riverside,CA",52.0,5 mph,Rain Showers Likely then Light Rain Likely,6.35,5.48,6.27
-18.65465,"109, 92","Baltimore,MD",44.0,14 mph,Mostly Clear,4.08,4.1,4.81
-39.51605,"118, 100","Las Vegas,NV",52.0,14 to 17 mph,Mostly Cloudy,7.79,5.7,6.74
-34.52975,"124, 55","San Antonio,TX",67.0,5 mph,Mostly Cloudy,4.71,4.77,5.22
-25.804649999999995,"93, 74","St. Louis,MO",46.0,7 mph,Mostly Cloudy then Chance Rain Showers,4.31,4.2,4.86
-41.4508,"41, 66","Sacramento,CA",48.0,8 to 16 mph,Rain,5.78,5.07,5.75
-42.27335,"100, 80","San Jose,CA",46.0,9 to 17 mph,Rain Showers,5.83,5.12,5.86
-19.768300000000004,"77, 65","Pittsburgh,PA",37.0,5 mph,Partly Cloudy,3.42,3.81,4.35
-33.7259,"155, 91","Austin,TX",66.0,0 mph,Partly Cloudy,4.72,4.71,5.18
-22.6824,"35, 39","Cincinnati,OH",40.0,7 mph,Partly Cloudy,4.03,4.08,4.68
-27.715100000000003,"44, 51","Kansas City,MO",48.0,10 mph,Mostly Cloudy,4.51,4.23,4.95
-27.715100000000003,"44, 51","Kansas City,MO",48.0,10 mph,Mostly Cloudy,NaN,NaN,NaN
-27.715100000000003,"103, 29","Bonita Springs,FL",70.0,8 mph,Partly Cloudy,4.51,4.23,4.95
-27.715100000000003,"103, 29","Bonita Springs,FL",70.0,8 mph,Partly Cloudy,NaN,NaN,NaN
